Date,Open,High,Low,Close
2011-07-29,10345.3,10518.2,10339.75,10435
2011-08-01,10490.35,10552,10420.65,10445
2011-08-02,10416.55,10432.95,10238.95,10306
2011-08-03,10249.35,10376.25,10198.15,10337
2011-08-04,10286.6,10384.9,10104.45,10128
2011-08-05,9966.35,10002.25,9733.5,9967.8
2011-08-08,9856.2,9997.05,9704.6,9892
2011-08-09,9727.3,10082.85,9680.3,10011
2011-08-10,10067.3,10128.15,9937.45,9975.1
2011-08-11,9950.1,10044.45,9925.85,9993.6
2011-08-12,10039.1,10074.85,9897.85,9969.4
2011-08-16,10066.15,10070.1,9977.8,10017
2011-08-17,10006.8,10184.6,10006.8,10156
2011-08-18,10171.7,10210.6,10091,10109
2011-08-19,10039.75,10099.6,9920.6,9950.3
2011-08-22,9926.3,10099.85,9875.9,10072
2011-08-23,10077.05,10149.9,9979.95,10120
2011-08-24,10111.75,10162.45,10031.2,10079
2011-08-25,10090,10151.75,10068.85,10089
2011-08-26,10103.55,10122.55,9822.15,9892
2011-08-29,9926.35,10098.4,9876.05,10063
2011-08-30,10124.45,10129.3,10001.9,10050
2011-09-02,10271.35,10271.35,9985.3,10148
2011-09-05,10149.5,10166.75,10050.85,10137
2011-09-06,10116.65,10164.85,10048.4,10142
2011-09-07,10148.35,10162.3,10093.1,10108
2011-09-08,10115.9,10150.65,10034.3,10083
2011-09-09,10100.8,10169.25,10033.6,10059
2011-09-12,9999.1,10094.45,9992.95,10048
2011-09-13,10065.25,10168.3,10021,10047
2011-09-14,10065.05,10200.55,9941.75,10178
2011-09-15,10256.85,10256.85,10051.65,10152
2011-09-16,10158.3,10197.15,9999.75,10023
2011-09-19,10025.3,10025.3,9912.75,9924.8
2011-09-20,9942.6,10067.8,9926.9,10034
2011-09-21,10042.7,10089.6,9961.05,10012
2011-09-22,9961.9,9961.9,9694.95,9726.6
2011-09-23,9692.9,9813.8,9648.55,9743.1
2011-09-26,9782.45,9782.45,9470.25,9594.6
2011-09-27,9645.9,9836.35,9645.9,9817.3
2011-09-28,9835.95,9906.05,9789.5,9893.8
2011-09-29,9851.7,10100.65,9849.1,10069
2011-09-30,10039.4,10058.9,9901.65,9947.6
2011-10-03,9857.4,9860.3,9738.15,9774.3
2011-10-04,9751.2,9820.3,9573.35,9640.2
2011-10-05,9646.65,9824.75,9646.65,9679.4
2011-10-07,9815.45,9917.55,9781,9896.6
2011-10-10,9864.1,10001.2,9842.5,9945.7
2011-10-11,10000.8,10049.4,9922,9934.1
2011-10-12,9949.9,10144.85,9925.75,10124
2011-10-13,10080.45,10188.15,10024.5,10062
2011-10-14,10047.05,10193.9,10039.35,10164
2011-10-17,10161.6,10222.9,10114,10208
2011-10-18,10153.75,10198.05,10073.65,10118
2011-10-19,10149.4,10262.15,10116.15,10237
2011-10-20,10196.6,10213.6,10114.5,10143
2011-10-21,10170.75,10199.5,10055.75,10077
2011-10-24,10098.4,10267.2,10098.4,10215
2011-10-25,10256.05,10439,10192.05,10369
2011-10-26,10406.4,10464.35,10390.8,10427
2011-10-28,10520.25,10608.15,10500.3,10592
2011-10-31,10587.6,10684.4,10522.5,10670
2011-11-01,10599.5,10626.75,10555.15,10577
2011-11-02,10549.5,10658.6,10549.5,10604
2011-11-03,10562.75,10601.3,10517.9,10580
2011-11-04,10608.5,10638.45,10565,10605
2011-11-08,10587.55,10684.4,10579.2,10643
2011-11-09,10643.1,10862.35,10637.95,10762
2011-11-11,10736.65,10834,10685.8,10744
2011-11-14,10768.95,10861.9,10718.95,10736
2011-11-15,10713.7,10724.8,10577.95,10599
2011-11-16,10580.75,10692.85,10524.95,10646
2011-11-17,10640.85,10640.85,10443.55,10492
2011-11-18,10440.85,10478.75,10228.15,10306
2011-11-21,10269.25,10336.55,10195.15,10236
2011-11-22,10322.65,10341.45,10080.85,10104
2011-11-23,10098.7,10098.7,9841.65,9977.5
2011-11-24,9982,10050.9,9856.35,9966.6
2011-11-25,9950.05,9988.6,9879.95,9909.4
2011-11-28,9990.9,10153.3,9968.6,10079
2011-11-29,10114.9,10161.05,10072.95,10149
2011-11-30,10123,10311.75,10107.1,10271
2011-12-01,10396.35,10469.45,10321.95,10335
2011-12-02,10348.25,10482.6,10324.75,10458
2011-12-05,10446.4,10496.2,10345.45,10401
2011-12-07,10425.65,10558.55,10409.65,10459
2011-12-08,10447.6,10502.8,10227.45,10274
2011-12-09,10207.45,10226.45,10118.65,10143
2011-12-12,10194.45,10205.85,10042.8,10063
2011-12-13,10058.7,10161.6,10033.95,10132
2011-12-14,10127.55,10262.25,10124.55,10162
2011-12-15,10135.65,10250.35,10079.15,10211
2011-12-16,10197.05,10376.15,9988.3,10043
2011-12-19,10015.9,10114.35,9912.95,10094
2011-12-20,10139.5,10202.95,10099.8,10126
2011-12-21,10208.95,10286.35,10165.9,10262
2011-12-22,10222.05,10380.35,10217,10358
2011-12-23,10385.3,10437.65,10336,10370
2011-12-26,10354.95,10471.35,10337.1,10447
2011-12-27,10444.65,10460.45,10355.5,10429
2011-12-28,10446.35,10450.2,10285.2,10304
2011-12-29,10282.2,10330.75,10206.9,10244
2011-12-30,10246.75,10321.3,10167.15,10217
2012-01-02,10236.75,10249.9,10085.6,10103
2012-01-03,10153.3,10260.7,10153.3,10215
2012-01-04,10246.35,10246.35,10115.6,10151
2012-01-05,10134.35,10175.75,10069.8,10130
2012-01-06,10111.75,10239.25,10056.1,10206
2012-01-07,10218.35,10223.8,10183.3,10190
2012-01-09,10183.2,10201.95,10115,10183
2012-01-10,10189.15,10318.05,10189.15,10298
2012-01-11,10305.55,10338.5,10218.7,10241
2012-01-12,10239.4,10322.25,10235.2,10314
2012-01-13,10311.75,10400.95,10295.5,10354
2012-01-16,10345.55,10437.4,10327,10415
